OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,isPurebred,Breed 1,Breed 2,Color 1,Color 2
Transfer,Dog,Spayed Female,3 years,1,Shih Tzu,Shih Tzu,Black,White
Transfer,Dog,Neutered Male,2 years,0,Catahoula Mix,Catahoula Mix,Black,Brown
Return_to_owner,Dog,Neutered Male,3 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Sable,Sable
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Transfer,Dog,Neutered Male,3 years,0,Miniature Poodle Mix,Miniature Poodle Mix,Pink,White
Transfer,Dog,Intact Female,4 months,0,Pit Bull Mix,Pit Bull Mix,Brown Brindle,White
Adoption,Cat,Spayed Female,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown,Calico
Adoption,Dog,Neutered Male,5 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,Brown
Transfer,Cat,Intact Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Transfer,Dog,Neutered Male,1 year,0,American Bulldog Mix,American Bulldog Mix,Tan,White
Adoption,Dog,Neutered Male,1 year,0,Dachshund Mix,Dachshund Mix,Black,Black
Transfer,Cat,Unknown,6 days,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Cat,Spayed Female,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Cat,Intact Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Cat,Intact Female,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Transfer,Dog,Neutered Male,1 year,0,Great Pyrenees,Pointer,Orange,White
Transfer,Cat,Unknown,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Return_to_owner,Dog,Neutered Male,2 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Brown,Chocolate
Adoption,Dog,Neutered Male,6 months,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Blue Tick,Blue Tick
Transfer,Dog,Intact Female,1 week,0,Labrador Retriever Mix,Labrador Retriever Mix,Cream,Cream
Transfer,Cat,Unknown,1 week,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,White,White
Transfer,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Adoption,Cat,Neutered Male,6 months,0,Domestic Longhair Mix,Domestic Longhair Mix,Brown Tabby,White
Adoption,Cat,Spayed Female,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Cat,Spayed Female,2 months,1,Domestic Shorthair,Domestic Shorthair,Tortie,Tortie
Return_to_owner,Dog,Neutered Male,2 years,0,German Shepherd,Pit Bull,Fawn,Fawn
Transfer,Dog,Intact Female,2 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,Black
Return_to_owner,Cat,Neutered Male,5 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Dog,Spayed Female,1 year,0,Australian Shepherd Mix,Australian Shepherd Mix,Tan,White
Adoption,Dog,Neutered Male,2 years,0,Cairn Terrier,Yorkshire Terrier,Black,Brown
Adoption,Cat,Spayed Female,6 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Intact Female,6 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Transfer,Dog,Intact Male,5 days,0,Pit Bull Mix,Pit Bull Mix,Sable,Sable
Transfer,Dog,Intact Female,1 week,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Euthanasia,Dog,Neutered Male,3 years,0,Chow Chow Mix,Chow Chow Mix,Black,Red
Transfer,Dog,Neutered Male,2 years,0,Cardigan Welsh Corgi,Chihuahua Shorthair,Cream,Sable
Return_to_owner,Cat,Neutered Male,3 years,0,Domestic Longhair Mix,Domestic Longhair Mix,Cream Tabby,White
Adoption,Dog,Neutered Male,2 years,0,Dachshund Mix,Dachshund Mix,Black,Tan
Adoption,Dog,Neutered Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Black,White
Adoption,Cat,Intact Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Return_to_owner,Dog,Intact Male,9 months,0,American Pit Bull Terrier Mix,American Pit Bull Terrier Mix,Black Brindle,White
Adoption,Dog,Spayed Female,4 years,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Tan,White
Transfer,Cat,Intact Female,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,White
Transfer,Dog,Intact Male,4 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tricolor,Tricolor
Adoption,Dog,Spayed Female,2 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,White
Euthanasia,Cat,Intact Male,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Blue
Transfer,Cat,Unknown,1 week,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Lynx Point,Lynx Point
Transfer,Cat,Intact Male,2 years,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Orange Tabby,Orange Tabby
Adoption,Dog,Spayed Female,7 years,0,Pointer Mix,Pointer Mix,Brown,White
Return_to_owner,Dog,Neutered Male,6 years,1,Border Collie,Border Collie,Black,White
Transfer,Dog,Intact Male,1 month,0,Anatol Shepherd Mix,Anatol Shepherd Mix,Brown,White
Euthanasia,Dog,Intact Female,1 year,0,Cairn Terrier Mix,Cairn Terrier Mix,Tan,Tan
Adoption,Cat,Spayed Female,2 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Cream Tabby,Cream Tabby
Transfer,Cat,Spayed Female,6 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Transfer,Cat,Intact Female,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Blue
Transfer,Dog,Spayed Female,2 months,0,Cairn Terrier Mix,Cairn Terrier Mix,Brown,Brown
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Dog,Neutered Male,2 years,0,Chihuahua Shorthair,Miniature Pinscher,Black,Tan
Adoption,Cat,Neutered Male,10 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Cat,Unknown,1 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Adoption,Dog,Spayed Female,5 years,0,Beagle Mix,Beagle Mix,Brown,White
Return_to_owner,Cat,Spayed Female,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Dog,Neutered Male,1 year,0,Chihuahua Shorthair,Yorkshire Terrier,Black,Tan
Return_to_owner,Dog,Intact Male,3 years,0,Beagle Mix,Beagle Mix,Red,White
Transfer,Dog,Neutered Male,2 years,0,Shih Tzu Mix,Shih Tzu Mix,Brown,White
Adoption,Cat,Neutered Male,4 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Dog,Spayed Female,2 years,0,Dachshund Mix,Dachshund Mix,Black,White
Adoption,Dog,Spayed Female,3 years,0,Australian Shepherd,Parson Russell Terrier,Tricolor,Tricolor
Adoption,Dog,Spayed Female,8 years,1,Toy Poodle,Toy Poodle,White,White
Adoption,Cat,Neutered Male,7 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Euthanasia,Dog,Neutered Male,2 years,0,American Bulldog Mix,American Bulldog Mix,Red,White
Transfer,Cat,Intact Male,6 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Dog,Spayed Female,5 years,0,Dachshund Mix,Dachshund Mix,Black,Black
Return_to_owner,Dog,Spayed Female,4 years,0,Chow Chow,Pit Bull,Tan,White
Adoption,Dog,Spayed Female,5 years,0,German Shepherd Mix,German Shepherd Mix,Sable,Sable
Adoption,Dog,Spayed Female,10 months,0,Boston Terrier Mix,Boston Terrier Mix,Black,Tan
Euthanasia,Cat,Intact Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Dog,Neutered Male,1 year,1,Queensland Heeler,Queensland Heeler,Red,White
Return_to_owner,Dog,Intact Male,11 years,0,German Shepherd Mix,German Shepherd Mix,Black,Tan
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Died,Cat,Intact Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Transfer,Cat,Spayed Female,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Transfer,Dog,Neutered Male,9 months,0,German Shepherd Mix,German Shepherd Mix,Brown,Tan
Transfer,Dog,Intact Female,2 days,0,Pit Bull Mix,Pit Bull Mix,Chocolate,White
Adoption,Cat,Neutered Male,3 years,0,Siamese Mix,Siamese Mix,Seal Point,Seal Point
Transfer,Cat,Intact Male,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Cat,Unknown,1 week,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Cat,Spayed Female,2 months,1,Siamese,Siamese,Seal Point,Seal Point
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Transfer,Cat,Unknown,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,Cream Tabby
Adoption,Dog,Spayed Female,10 months,0,Pit Bull Mix,Pit Bull Mix,Blue,White
Adoption,Cat,Neutered Male,5 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Euthanasia,Cat,Intact Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Adoption,Dog,Spayed Female,5 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Red,Red
Return_to_owner,Dog,Spayed Female,5 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,White
Transfer,Dog,Spayed Female,3 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Tan
Return_to_owner,Dog,Intact Male,6 months,0,Bull Terrier Mix,Bull Terrier Mix,White,White
Adoption,Dog,Neutered Male,9 months,0,Chinese Sharpei,Labrador Retriever,Tan,Tan
Transfer,Dog,Intact Female,10 years,0,Border Collie Mix,Border Collie Mix,Black,Black
Adoption,Dog,Neutered Male,4 years,0,American Staffordshire Terrier Mix,American Staffordshire Terrier Mix,Black,White
Transfer,Cat,Intact Male,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Dog,Intact Male,6 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Return_to_owner,Cat,Neutered Male,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Dog,Spayed Female,18 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Yellow,Yellow
Return_to_owner,Dog,Neutered Male,8 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Yellow
Transfer,Cat,Neutered Male,5 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Transfer,Dog,Neutered Male,3 years,1,Chihuahua Shorthair,Chihuahua Shorthair,Brown,Brown
Adoption,Cat,Spayed Female,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Return_to_owner,Dog,Neutered Male,1 year,0,Boxer,English Bulldog,Brown,White
Adoption,Dog,Neutered Male,8 years,0,Australian Cattle Dog,Labrador Retriever,Red,Red
Adoption,Dog,Neutered Male,3 years,0,Mastiff Mix,Mastiff Mix,Sable,Sable
Transfer,Cat,Neutered Male,3 years,0,Snowshoe Mix,Snowshoe Mix,Seal Point,Seal Point
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Cat,Spayed Female,5 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Adoption,Dog,Spayed Female,7 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Transfer,Cat,Intact Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Dog,Spayed Female,2 years,0,Australian Kelpie,Pit Bull,Red,White
Transfer,Cat,Intact Male,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Adoption,Dog,Neutered Male,5 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Chocolate,White
Euthanasia,Dog,Intact Male,9 years,1,Pit Bull,Pit Bull,Blue,White
Transfer,Dog,Neutered Male,3 years,0,Border Collie Mix,Border Collie Mix,Black,White
Adoption,Cat,Spayed Female,8 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Euthanasia,Dog,Intact Male,3 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Brown,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Cat,Neutered Male,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Adoption,Dog,Spayed Female,1 year,0,Australian Cattle Dog,Labrador Retriever,Tan,White
Euthanasia,Dog,Intact Male,4 years,0,Pit Bull Mix,Pit Bull Mix,Blue,White
Transfer,Cat,Unknown,6 months,0,Russian Blue Mix,Russian Blue Mix,Blue,Blue
Adoption,Dog,Neutered Male,2 years,1,Australian Cattle Dog,Australian Cattle Dog,Blue Merle,Blue Merle
Adoption,Dog,Spayed Female,2 months,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Brown,White
Euthanasia,Cat,Neutered Male,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Brown Tabby
Transfer,Cat,Unknown,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Dog,Spayed Female,9 years,0,Keeshond Mix,Keeshond Mix,Black,Brown
Adoption,Dog,Spayed Female,8 years,0,Dachshund Wirehair Mix,Dachshund Wirehair Mix,Sable,White
Adoption,Cat,Spayed Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Cat,Intact Male,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Neutered Male,2 years,0,Great Pyrenees Mix,Great Pyrenees Mix,White,White
Adoption,Cat,Neutered Male,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Spayed Female,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Dog,Neutered Male,1 year,0,Australian Cattle Dog,German Shepherd,Black,White
Transfer,Cat,Intact Female,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Transfer,Dog,Intact Female,1 year,0,Boxer,Pit Bull,Chocolate,White
Adoption,Cat,Spayed Female,1 year,0,Domestic Longhair Mix,Domestic Longhair Mix,Orange,Tortie
Return_to_owner,Dog,Neutered Male,8 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Brown,Brown
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Transfer,Dog,Intact Female,1 month,0,Border Collie Mix,Border Collie Mix,Black,White
Adoption,Cat,Neutered Male,8 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Return_to_owner,Dog,Intact Female,2 years,0,American Staffordshire Terrier Mix,American Staffordshire Terrier Mix,Brown Brindle,White
Transfer,Dog,Neutered Male,1 year,0,Chihuahua Shorthair,Dachshund,Tricolor,Tricolor
Transfer,Dog,Intact Male,3 months,0,American Pit Bull Terrier Mix,American Pit Bull Terrier Mix,Brown Brindle,White
Transfer,Dog,Neutered Male,9 months,0,Redbone Hound Mix,Redbone Hound Mix,Red,White
Transfer,Dog,Spayed Female,8 years,0,Border Collie,Labrador Retriever,Black,White
Adoption,Dog,Neutered Male,2 years,0,Alaskan Malamute Mix,Alaskan Malamute Mix,Black,Tan
Died,Cat,Intact Male,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Spayed Female,1 year,0,Cairn Terrier Mix,Cairn Terrier Mix,Tan,Tan
Adoption,Dog,Neutered Male,8 months,0,Australian Cattle Dog,Great Dane,Black,White
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Dog,Neutered Male,8 months,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Brown Merle,White
Transfer,Dog,Intact Male,3 days,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,Black
Euthanasia,Cat,Intact Female,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Intact Female,2 years,0,Chihuahua Longhair,Dachshund Wirehair,Tan,Tan
Transfer,Cat,Intact Female,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Transfer,Dog,Neutered Male,1 year,0,Dachshund Mix,Dachshund Mix,Sable,Tan
Adoption,Dog,Neutered Male,6 years,0,Siberian Husky Mix,Siberian Husky Mix,Tan,White
Adoption,Dog,Neutered Male,4 months,0,Dachshund Mix,Dachshund Mix,Brown,Brown
Euthanasia,Dog,Neutered Male,3 years,0,Boxer Mix,Boxer Mix,Brown Brindle,White
Adoption,Dog,Neutered Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Tricolor,Tricolor
Return_to_owner,Dog,Spayed Female,8 years,1,English Springer Spaniel,English Springer Spaniel,Liver,White
Return_to_owner,Dog,Intact Male,10 years,0,American Staffordshire Terrier Mix,American Staffordshire Terrier Mix,Brown Brindle,Brown Brindle
Adoption,Dog,Neutered Male,8 years,0,Smooth Fox Terrier Mix,Smooth Fox Terrier Mix,Tricolor,Tricolor
Euthanasia,Cat,Intact Female,5 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Torbie,Torbie
Transfer,Cat,Intact Male,1 week,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby,Brown Tabby
Transfer,Dog,Spayed Female,3 months,0,Border Collie,Labrador Retriever,Black,White
Adoption,Dog,Spayed Female,3 months,0,Dachshund Longhair,Miniature Schnauzer,Silver,White
Transfer,Cat,Intact Male,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Euthanasia,Dog,Intact Male,5 years,0,Australian Cattle Dog,Australian Shepherd,Brown,Tan
Adoption,Dog,Spayed Female,6 months,0,Pit Bull Mix,Pit Bull Mix,Blue,White
Adoption,Dog,Neutered Male,10 months,0,Dachshund Longhair,Shetland Sheepdog,Brown,White
Adoption,Dog,Spayed Female,2 years,0,Flat Coat Retriever Mix,Flat Coat Retriever Mix,Black,Black
Adoption,Dog,Neutered Male,1 year,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Adoption,Cat,Neutered Male,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Return_to_owner,Dog,Neutered Male,10 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Chocolate,White
Adoption,Cat,Intact Male,2 months,0,Siamese Mix,Siamese Mix,Lynx Point,White
Transfer,Dog,Intact Female,1 year,1,Pomeranian,Pomeranian,Red,Red
Transfer,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Return_to_owner,Dog,Spayed Female,6 years,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Euthanasia,Dog,Neutered Male,5 years,0,Labrador Retriever,Pit Bull,Black,White
Adoption,Cat,Spayed Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Transfer,Cat,Intact Male,2 years,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,Black
Transfer,Dog,Neutered Male,1 year,0,Pug Mix,Pug Mix,Brown,White
Return_to_owner,Dog,Neutered Male,6 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Fawn,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Return_to_owner,Dog,Spayed Female,1 year,0,American Staffordshire Terrier Mix,American Staffordshire Terrier Mix,Tricolor,Tricolor
Adoption,Dog,Neutered Male,3 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Brown,Brown
Adoption,Dog,Neutered Male,3 years,0,Great Dane,Mastiff,Black,White
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Adoption,Dog,Spayed Female,1 year,0,Pit Bull Mix,Pit Bull Mix,Brown Brindle,White
Adoption,Dog,Neutered Male,5 months,0,Akita,Siberian Husky,Tan,White
Return_to_owner,Dog,Spayed Female,1 year,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,Black
Adoption,Dog,Neutered Male,2 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown Brindle,White
Return_to_owner,Dog,Spayed Female,4 years,0,Beagle,Labrador Retriever,Tan,White
Transfer,Dog,Intact Female,4 weeks,0,American Bulldog,Blue Lacy,Brown,White
Transfer,Cat,Spayed Female,10 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Cat,Neutered Male,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Dog,Neutered Male,2 years,0,Chihuahua Shorthair,Dachshund,Black,White
Return_to_owner,Cat,Spayed Female,10 years,0,Domestic Longhair Mix,Domestic Longhair Mix,Black,Black
Transfer,Cat,Intact Female,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Transfer,Dog,Intact Male,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,White
Adoption,Cat,Neutered Male,8 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black Smoke,White
Return_to_owner,Dog,Spayed Female,3 years,0,Cavalier Span Mix,Cavalier Span Mix,Brown,White
Return_to_owner,Cat,Intact Female,20 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Transfer,Dog,Intact Male,7 months,0,Great Dane Mix,Great Dane Mix,Black,White
Transfer,Dog,Neutered Male,7 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Tan
Return_to_owner,Dog,Spayed Female,6 years,0,Silky Terrier Mix,Silky Terrier Mix,White,White
Adoption,Dog,Neutered Male,10 months,0,Pit Bull Mix,Pit Bull Mix,Black,White
Adoption,Cat,Neutered Male,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Cat,Intact Male,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Return_to_owner,Dog,Spayed Female,3 years,0,Miniature Poodle Mix,Miniature Poodle Mix,White,White
Transfer,Dog,Intact Male,5 months,0,Miniature Poodle,Miniature Schnauzer,White,White
Transfer,Cat,Unknown,1 week,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,Cream Tabby
Adoption,Cat,Neutered Male,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Adoption,Dog,Neutered Male,1 year,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Transfer,Cat,Unknown,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Return_to_owner,Dog,Neutered Male,3 years,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Adoption,Dog,Neutered Male,5 months,0,Pit Bull Mix,Pit Bull Mix,Tan,White
Adoption,Cat,Neutered Male,2 months,0,Manx Mix,Manx Mix,Blue,White
Return_to_owner,Dog,Neutered Male,2 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Yellow
Transfer,Dog,Intact Female,10 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Transfer,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Cat,Intact Male,1 day,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Euthanasia,Cat,Spayed Female,6 years,1,Domestic Shorthair,Domestic Shorthair,Calico,Calico
Adoption,Dog,Neutered Male,1 year,0,Australian Shepherd Mix,Australian Shepherd Mix,Brown,Brown
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Dog,Spayed Female,4 years,0,Australian Shepherd,Boxer,Brown Brindle,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Cat,Spayed Female,4 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Unknown,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,Cream Tabby
Transfer,Cat,Intact Male,4 days,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,Cream Tabby
Adoption,Dog,Neutered Male,2 months,0,Dachshund Mix,Dachshund Mix,Black,Tan
Adoption,Dog,Spayed Female,7 years,0,Staffordshire Mix,Staffordshire Mix,Blue,White
Return_to_owner,Dog,Neutered Male,2 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Chocolate,Chocolate
Euthanasia,Dog,Spayed Female,4 years,0,Pit Bull Mix,Pit Bull Mix,Blue,White
Return_to_owner,Dog,Neutered Male,2 months,0,American Bulldog Mix,American Bulldog Mix,Brown,White
Return_to_owner,Dog,Neutered Male,1 year,0,Pit Bull Mix,Pit Bull Mix,Blue,White
Transfer,Dog,Neutered Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Blue,White
Return_to_owner,Dog,Neutered Male,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,Brown
Transfer,Dog,Intact Male,1 year,0,Shih Tzu Mix,Shih Tzu Mix,Tan,White
Transfer,Dog,Spayed Female,5 years,0,Dachshund Mix,Dachshund Mix,Black,Brown
Adoption,Cat,Neutered Male,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Neutered Male,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Neutered Male,8 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Transfer,Dog,Neutered Male,8 years,1,Pekingese,Pekingese,Buff,Buff
